,,,Type,,Date,,Num,,Name,,Memo,,Account,,Clr,,Split,,Amount,,Balance
Jan - Dec 26,,,,,,,,,,,,,,,,,,,,,
,,,Deposit,,01/06/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,"-1,645.00",,0.00
,,,Deposit,,01/07/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,105 · ACCOUNTS RECEIVABLE,,364.98,,364.98
,,,Deposit,,01/07/2026,,,,WATER PAYMENTS,,VIA CREDIT CARD,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-364.98,,0.00
,,,General Journal,,01/07/2026,,367,,,,SECPA ACT 133501,,101 · CASH IN BANK - UTILITY,,Ö,,411 · PUMPING EXPENSE,,-142.36,,-142.36
,,,General Journal,,01/07/2026,,367,,,,SECPA ACT 133501,,411 · PUMPING EXPENSE,,,,101 · CASH IN BANK - UTILITY,,142.36,,0.00
,,,General Journal,,01/07/2026,,367,,,,SECPA ACT 133401,,101 · CASH IN BANK - UTILITY,,Ö,,411 · PUMPING EXPENSE,,-386.55,,-386.55
,,,General Journal,,01/07/2026,,367,,,,SECPA ACT 133401,,411 · PUMPING EXPENSE,,,,101 · CASH IN BANK - UTILITY,,386.55,,0.00
,,,Deposit,,01/07/2026,,,,,,Deposit,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,"5,276.00",,"5,276.00"
,,,Deposit,,01/07/2026,,,,DOUG LUBBERS,,DOUG LUBBERS FORT LYON SHARES,,364 · LEASE,,,,101 · CASH IN BANK - UTILITY,,"-4,485.00",,791.00
,,,Deposit,,01/07/2026,,,,WATER PAYMENTS,,WATER PAYMENTS,,105 · ACCOUNTS RECEIVABLE,,,,101 · CASH IN BANK - UTILITY,,-791.00,,0.00
,,,Check,,01/07/2026,,12128,,MAY VALLEY WATER ASSOCIATION,,,,101 · CASH IN BANK - UTILITY,,Ö,,-SPLIT-,,-27.34,,-27.34
